title,authors,description
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,"This book demonstrates techniques of writing, acting, and directing that encourage the reader to create a personal theatrical experience."
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,"Owning your own business may sound like paradise, but being the owner also means taking the responsibility for the business's health."
eBay for Dummies,Marsha Collier,"The bestsellng guide to successfully buying and selling on eBay, fully revised and updated eBay is the world's #1 shopping and selling site, where millions find bargains and make money with their own sales. Marsha Collier is the #1 eBay expert and bestselling author, with more than a million copies of her books in print. And eBay For Dummies has been the bestselling book on eBay since the original edition in 1999. Thoroughly updated to cover all the changes in the eBay site, eBay For Dummies, 6th Edition gets you started with information about signing up and navigating the site. It shows you how to find the best bargains, bid to win, and complete your purchase securely. Then it guides you into become a successful eBay seller, showing you how you can pick up extra money in a tight economy with eBay sales. Covers how to find bargains on eBay, bid successfully, and pay for your purchases safely Helps new users become comfortable with the site and shop with confidence Shows you how to set up a seller account, list items, offer customer service, ship merchandise, and receive payment securely Prepares you for other issues that may arise Explores eBay's special features, showing you how to work within the rules, use the community, and even set up a charity auction Includes insider tips on becoming a better buyer and seller eBay For Dummies, 6th Edition prepares you to save money on your purchases and make money on your sales, all from the comfort of your home."
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,"If you want to build a profitable--and consistent--eBay business, you need to start with strategic product sourcing. What to Sell on eBay and Where to Get It reveals the same techniques used by the most successful e-commerce entrepreneurs and by major retail chains to determine what products will sell well and which suppliers will deliver those products for the best price. Learn to generate product ideas, research your markets, diversify your product line, and build a direct supply of inventory. Using the proven strategies in this book, you’ll be able to find the products that will fuel your business for the long term and skyrocket your sales!"
Starting an eBay Business for Dummies,Marsha Collier,"The bestsellng guide to successfully buying and selling on eBay, fully revised and updated eBay is the world's #1 shopping and selling site, where millions find bargains and make money with their own sales. Marsha Collier is the #1 eBay expert and bestselling author, with more than a million copies of her books in print. And eBay For Dummies has been the bestselling book on eBay since the original edition in 1999. Thoroughly updated to cover all the changes in the eBay site, eBay For Dummies, 6th Edition gets you started with information about signing up and navigating the site. It shows you how to find the best bargains, bid to win, and complete your purchase securely. Then it guides you into become a successful eBay seller, showing you how you can pick up extra money in a tight economy with eBay sales. Covers how to find bargains on eBay, bid successfully, and pay for your purchases safely Helps new users become comfortable with the site and shop with confidence Shows you how to set up a seller account, list items, offer customer service, ship merchandise, and receive payment securely Prepares you for other issues that may arise Explores eBay's special features, showing you how to work within the rules, use the community, and even set up a charity auction Includes insider tips on becoming a better buyer and seller eBay For Dummies, 6th Edition prepares you to save money on your purchases and make money on your sales, all from the comfort of your home."
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,"Providing adventurous users with 100 useful and surprising techniques, this book is the ideal resource to help readers become even more profitable users of eBay, the world's largest online marketplace. Organized into ten chapters, with ten tasks per chapter, this book provides the timesaving tips, cool secrets, and insider tricks to help take readers' knowledge of eBay beyond the basics. Readers discover how to take better pictures to help sell items, write stellar marketing copy to get those items sold faster and decrease questions from bidders, and find out the best time to start and end an auction to guarantee success."
ebay Timesaving Techniques for Dummies,Marsha Collier,"So, you’ve gotten started on eBay. You’ve made a few purchases and your first sale. You may have even built a moneymaking business. Now you’re looking for ways to ratchet things up. You’re looking for the insider tips and tricks for the easiest ways to take care of listing items, completing transactions, and keeping good records and you don't have the time to do all the research. eBay Timesaving Techniques For Dummies is the book for you. Marsha Collier, an eBay University instructor and best selling author of eBay For Dummies and Starting an eBay Business For Dummies, has collected the fastest and most effective techniques for finding items to sell, setting up your sales pages, pricing items to move, getting the word out about your business, collecting payments, shipping your item, and taking care of all the paperwork. Time is money after all. So why waste time when you can be making money on eBay. This book contains over 60 step-by-step techniques proven to add efficiency to your eBay operation. Includes coverage of: Finding sources for merchandise to sell on eBay Setting attractive prices and shipping costs Handling multiple sales without losing your cool Prettying up your auctions with digital photo and HTML tricks Tracking payments and shipments and keeping your customers happy Working with PayPal, both on and off of eBay Enhancing your status in the eBay community Simplifying your bookkeeping Creating marketing, merchandising, and advertising plans Solving problems quickly when they occur"
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,"The bestsellng guide to successfully buying and selling on eBay, fully revised and updated eBay is the world's #1 shopping and selling site, where millions find bargains and make money with their own sales. Marsha Collier is the #1 eBay expert and bestselling author, with more than a million copies of her books in print. And eBay For Dummies has been the bestselling book on eBay since the original edition in 1999. Thoroughly updated to cover all the changes in the eBay site, eBay For Dummies, 6th Edition gets you started with information about signing up and navigating the site. It shows you how to find the best bargains, bid to win, and complete your purchase securely. Then it guides you into become a successful eBay seller, showing you how you can pick up extra money in a tight economy with eBay sales. Covers how to find bargains on eBay, bid successfully, and pay for your purchases safely Helps new users become comfortable with the site and shop with confidence Shows you how to set up a seller account, list items, offer customer service, ship merchandise, and receive payment securely Prepares you for other issues that may arise Explores eBay's special features, showing you how to work within the rules, use the community, and even set up a charity auction Includes insider tips on becoming a better buyer and seller eBay For Dummies, 6th Edition prepares you to save money on your purchases and make money on your sales, all from the comfort of your home."
Ruby Cookbook,Lucas Carlson/Leonard Richardson,"Why spend time on coding problems that others have already solved when you could be making real progress on your Ruby project? This updated cookbook provides more than 350 recipes for solving common problems, on topics ranging from basic data structures, classes, and objects, to web development, distributed programming, and multithreading. Revised for Ruby 2.1, each recipe includes a discussion on why and how the solution works. You’ll find recipes suitable for all skill levels, from Ruby newbies to experts who need an occasional reference. With Ruby Cookbook, you’ll not only save time, but keep your brain percolating with new ideas as well. Recipes cover: Data structures including strings, numbers, date and time, arrays, hashes, files and directories Using Ruby’s code blocks, also known as closures OOP features such as classes, methods, objects, and modules XML and HTML, databases and persistence, and graphics and other formats Web development with Rails and Sinatra Internet services, web services, and distributed programming Software testing, debugging, packaging, and distributing Multitasking, multithreading, and extending Ruby with other languages"
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,"Even those who live in a house without wheels can now share in the very special lifestyle afforded by the unique trailer park milieu. Ruby Ann shares her secrets for livin' life to the fullest along with anecdotes from the vaults of the High Chaparral trailer park where hot sex, warm spam and cold beer are just the beginning. With b/w photos throughout."
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,"Discusses techniques, tools, and terms of barbecue cooking, and offers trailer decoration advice and recipes for dishes including Baptist burgers, ambrosia pound cake, and Dr Pepper BBQ sauce."
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,"Rails Cookbook is packed with the solutions you need to be a proficient developer with Rails, the leading framework for building the new generation of Web 2.0 applications. Recipes range from the basics, like installing Rails and setting up your development environment, to the latest techniques, such as developing RESTful web services. With applications that are code light, feature-full and built to scale quickly, Rails has revolutionized web development. The Rails Cookbook addresses scores of real-world challenges; each one includes a tested solution, plus a discussion of how and why it works, so that you can adapt the techniques to similar situations. Topics include: Modeling data with the ActiveRecord library Setting up views with ActionView and RHTML templates Building your application's logic into ActionController Testing and debugging your Rails application Building responsive web applications using JavaScript and Ajax Ensuring that your application is security and performs well Deploying your application with Mongrel and Apache Using Capistrano to automate deployment Using the many Rails plugins Working with graphics Whether you're new to Rails or an experienced developer, you'll discover ways to test, debug and secure your applications, incorporate Ajax, use caching to improve performance, and put your application into production. Want to get ahead of the Web 2.0 curve? This valuable cookbook will save you hundreds of hours when developing applications with Rails."
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,"The must-have Pevear and Volokhonsky translation of one of the greatest Russian novels ever written Described by William Faulkner as the best novel ever written and by Fyodor Dostoevsky as “flawless,” Anna Karenina tells of the doomed love affair between the sensuous and rebellious Anna and the dashing officer, Count Vronsky. Tragedy unfolds as Anna rejects her passionless marriage and thereby exposes herself to the hypocrisies of society. Set against a vast and richly textured canvas of nineteenth-century Russia, the novel's seven major characters create a dynamic imbalance, playing out the contrasts of city and country life and all the variations on love and family happiness. While previous versions have softened the robust and sometimes shocking qualities of Tolstoy's writing, Pevear and Volokhonsky have produced a translation true to his powerful voice. This authoritative edition, which received the PEN Translation Prize and was an Oprah Book Club™ selection, also includes an illuminating introduction and explanatory notes. Beautiful, vigorous, and eminently readable, this Anna Karenina will be the definitive text for fans of the film and generations to come. This Penguin Classics Deluxe Edition also features French flaps and deckle-edged paper. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,"This volume explores the politics of memory involved in 'coming to terms with the past' of mass dictatorship on a global scale. Considering how a growing sense of global connectivity and global human rights politics changed the memory landscape, the essays explore entangled pasts of dictatorships."
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,"Farewell to Reason offers a vigorous challenge to the scientific rationalism that underlies Western ideals of “progress” and “development,” whose damaging social and ecological consequences are now widely recognized. For all their variety in theme and occasion, the essays in this book share a consistent philosophical purpose. Whether discussing Greek art and thought, vindicating the church’s battle with Galileo, exploring the development of quantum physics or exposing the dogmatism of Karl Popper, Feyerabend defends a relativist and historicist notion of the sciences. The appeal to reason, he insists, is empty, and must be replaced by a notion of science that subordinates it to the needs of citizens and communities. Provocative, polemical and rigorously argued, Farewell to Reason will infuriate Feyerabend’s critics and delight his many admirers."
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Anna Karenina delves into the complex web of relationships in Tolstoy’s epic novel. As the characters unfold, this novel draws you into the lives of Karenin, Anna, and others as they struggle through the seemingly hopeless marriage patterns of urban society. Do romantic relationships make us stronger or weaker as individuals? With insights into the characters of Anna Karenina, as well as information about Tolstoy’s own life and background, this study guide will help you get the most out of this classic novel. Other features that help you study include A character list that reveals names, traits, and key relationships Summaries and commentaries on each chapter Critical essays In-depth character analyses Analysis of major themes Review questions and suggested writing topics Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides."
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,"Widely regarded as a pinnacle in realist fiction, Tolstoy considered Anna Karenina his first true novel, after he came to consider War and Peace to be more than a novel. Fyodor Dostoyevsky declared it ""flawless as a work of art."" His opinion was shared by Vladimir Nabokov, who especially admired ""the flawless magic of Tolstoy's style,"" and by William Faulkner, who described the novel as ""the best ever written."""
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,"""Backgrounds and Sources"" includes central passages from the letters of Tolstoy and his correspondents, S. A. Tolstoy's diaries, and contemporary accounts translated by George Gibian exclusively for this Norton Critical Edition. Together these materials document Tolstoy's writing process and chronicle Anna Karenina's reception upon publication during the period 1875–77. ""Criticism"" unites Russian and Western interpretations to present the best canonical scholarship on Anna Karenina written between 1877 and 1994. A wide range of perspectives is provided by Fyodor M. Dostoevsky, Nikolai N. Strakhov, Matthew Arnold, M. S. Gromeka, D. S. Merezhkovsky, Boris Eikhenbaum, Henry Gifford and Raymond Williams, George Steiner, Lydia Ginzburg, Eduard Babaev, Gary Saul Morson, Caryl Emerson, Donna Tussing Orwin, and George Gibian. A Chronology of Tolstoy's life and an updated Selected Bibliography are also included."
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,"Mandelker's revisionist analysis begins with the contention that Anna Karenina rejects the textual conventions of realism and the stereo-typical representation of women, especially in Victorian English fiction. In Anna Karenina, Tolstoy uses the theme of art and visual representation to articulate an aesthetics freed from gender bias and class discrimination."
Dinner with Anna Karenina,Gloria Goldreich,"Six very different women, drawn together by their love of literature, get together each month to discuss their favourite novels, as well as to rally around each other when painful truths and dark betrayals are revealed, forcing them all to examine their own lives."
Tolstoy: Anna Karenina,Anthony Thorlby,A close reading of this classic novel that explores the subtle psychology in Tolstoy's characterisation.
Untouchable,Mulk Raj Anand/E.M. Forster,"Coolie portrays the picaresque adventures of Munoo, a young boy forced to leave his hill village to fend for himself and discover the world. His journey takes him far from home to towns and cities, to Bombay and Simla, sweating as servant, factory-worker and rickshaw driver. It is a fight for survival that illuminates, with raw immediacy, the grim fate of the masses in pre-Partition India."
The Untouchable,John Banville,"MAN BOOKER PRIZE FINALIST • From the Booker Prize winner of The Sea comes “an astonishing, disturbing little novel that might have been coughed up from hell"" (The New York Times Book Review) about the dark confession of an improbable murderer. “Ireland’s finest contemporary novelist.” —The Economist Freddie Montgomery is a highly cultured man, a husband and father living the life of a dissolute exile on a Mediterranean island. When a debt comes due and his wife and child are held as collateral, he returns to Ireland to secure funds. That pursuit leads to murder. And here is his attempt to present evidence, not of his innocence, but of his life, of the events that lead to the murder he committed because he could. Like a hero out of Nabokov or Camus, Montgomery is a chillingly articulate, self-aware, and amoral being, whose humanity is painfully on display."
The Untouchables,Eliot Ness/Oscar Fraley,"Lawman Eliot Ness has been transformed into legend by the films and television programs that depicted the war he and his ""Untouchables"" waged against Al Capone and the mobsters of Prohibition-era Chicago. Published by McFarland in 2000, the first edition of this volume analyzed both Ness the person and Ness the myth. This updated and expanded second edition is enhanced by information gathered through interviews with members of the original casts of the television and film versions of The Untouchables. Also included is new material on the historical Frank Nitti and ""The Mad Butcher of Kingsbury Run,"" along with several gangsters whom Ness never actually encountered except in his media portrayals, among them Mad Dog Coll and Dutch Schultz. The author concludes by evaluating the life and accomplishments of Eliot Ness, and his impact as a cultural icon."
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,"Every sixth human being in the world today is an Indian, and every sixth Indian is an untouchable. For thousands of years the untouchables, or Dalits, the people at the bottom of the Hindu caste system, have been treated as subhuman. Their story has rarely been told. This remarkable book achieves something altogether unprecedented: it gives voice to India's voiceless. In Untouchables, Narendra Jadhav tells the awe-inspiring story of his family's struggle for equality and justice in India. While most Dalits had accepted their lowly position as fate, Jadhav's father rebelled against the oppressive caste system and fought against all odds to forge for his children a destiny that was never ordained. Based on his father's diaries and family stories, Jadhav has written the triumphant story of his parents -- their great love, unwavering courage, and eventual victory in the struggle to free themselves and their children from the caste system. Jadhav vividly brings his parents' world to light and unflinchingly documents the life of untouchables -- the hunger, the cruel humiliations, the perpetual fear and brutal abuse. Compelling and deeply compassionate, Untouchables is a son's tribute to his parents, an illuminating chronicle of one of the most important moments in Indian history, and an eye-opening work of nonfiction that gives readers access and insight into the lives of India's 165 million Dalits, whose struggle for equality continues even today."
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,"""Every hour -- two Darts are assaulted. Every day -- three Dalit women are raped, two Dalits are murdered, two Dalit houses are burnt"". -- Human Rights Education Movement in India"
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,"'In this English translation, Moon's story is usefully framed by apparatus necessary to bring its message to even those taking their first look at South Asian culture...The result is an easy to digest short-course on what it means to be a Dalit, in the words of one notable Dalit.'-Journal of Asian Studies"
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,"During the 21st Century, social workers will increasingly use evidence-based knowledge to plan, implement, and evaluate the quality of their own professional activities. This book explores the skills needed for evidence-based social work (EBSW). This book emphasizes the importance of applied practice, critical thinking, and self-directed lifelong learning. Readers will learn the fundamentals of the EBSW skills, practice them to establish beginning proficiency, and then apply them to a target client group of their choosing. Social workers and anyone interested in practicing evidence-based social work."
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,"Teaching literature unit based on the popular children's story, A wrinkle in time."
Wrinkles in Time,George Smoot/Keay Davidson,"Astrophysicist George Smoot spent decades pursuing the origin of the cosmos, ""the holy grail of science,"" a relentless hunt that led him from the rain forests of Brazil to the frozen wastes of Antarctica. In his search he struggled against time, the elements, and the forces of ignorance and bureaucratic insanity. Finally, after years of research, Smoot and his dedicated team of Berkeley researchers succeeded in proving the unprovable—uncovering, inarguably and for all time, the secrets of the creation of the universe. Wrinkles in Time describes this startling discovery that would usher in a new scientific age—and win Smoot the Nobel Prize in Physics."
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,"Over fifty years ago, Madeleine L'Engle introduced the world to A Wrinkle in Time and the wonderful and unforgettable characters Meg and Charles Wallace Murry, and their friend Calvin O'Keefe. Now all their adventures are together in one volume. The Time Quintet consists of A Wrinkle in Time, A Wind in the Door, A Swiftly Tilting Planet, Many Waters, and An Acceptable Time. A Wrinkle in Time—This Newberry Award winner is one of the most significant novels of our time. This fabulous, ground-breaking science-fiction and fantasy story is the first of five in the Time Quintet series about the Murry family. A Wind in the Door—When Charles Wallace falls ill, Meg, Calvin, and their teacher, Mr. Jenkins, must travel inside C.W. to make him well, and save the universe from the evil Echthros. A Swiftly Tilting Planet—The Murry and O'Keefe Families enlist the help of the unicorn, Gaudior, to save the world from imminent nuclear war. Many Waters—Meg Murry, now in college, time travels with her twin brothers, Sandy and Dennys, to a desert oasis that is embroiled in war. An Acceptable Time—While spending time with her grandparents, Alex and Kate Murry, Polly O'Keefe wanders into a time 3,000 years before her own."
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,"A Chronicle of Higher Education “Top 10 Books on Teaching” Selection Winner of the Virginia and Warren Stone Prize Constrained by shrinking budgets, can colleges do more to improve the quality of education? And can students get more out of college without paying higher tuition? Daniel Chambliss and Christopher Takacs conclude that the limited resources of colleges and students need not diminish the undergraduate experience. How College Works reveals the surprisingly decisive role that personal relationships play in determining a student's collegiate success, and puts forward a set of small, inexpensive interventions that yield substantial improvements in educational outcomes. “The book shares the narrative of the student experience, what happens to students as they move through their educations, all the way from arrival to graduation. This is an important distinction. [Chambliss and Takacs] do not try to measure what students have learned, but what it is like to live through college, and what those experiences mean both during the time at school, as well as going forward.” —John Warner, Inside Higher Ed"
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,"Fifty years ago, L'Engle introduced the world to ""A Wrinkle in Time."" This special edition has been redesigned and includes an Introduction by Katherine Paterson, an Afterword by Madeleine L'Engle's granddaughter Charlotte Jones Voiklis that includes photographs and memorabilia, the author's Newbery Medal acceptance speech, and other bonus materials."
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,"1670: King Charles II's reign has brought peace and prosperity to the Morland family, but James II's ascent to the throne will shatter their restored fortunes. In Yorkshire, Morland Place has flourished during the Restoration, and in London the beautiful and sprited Annunciata, is now Countess of Chelmsford, a wealthy and well-connected woman, intimate with the Royal Family. But storm clouds gather over them all when the reign of James II brings rebellion and discord. Trouble is never far from Annunciata in these turbulent times. Jealousy, betrayal and violent death threaten her children, and for Annunciata herself comes the anguish of love lived in the long shadow of secrecy, a love that can only lead to tragedy."
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,"“Seamless in its storytelling and enthralling in its plotting.” —Ft. Lauderdale Sun-Sentinel “Dark and remarkable….Once [Todd] grabs you, there’s no putting the novel down.” —Detroit Free Press The Winston-Salem Journal declares that, “like P. D. James and Ruth Rendell, Charles Todd writes novels that transcend genre.” A Long Shadow proves that statement true beyond the shadow of a doubt. Once again featuring Todd’s extraordinary protagonist, Scotland Yard investigator and shell-shocked World War One veteran, Inspector Ian Rutledge, A Long Shadow immerses readers in the sights and sounds of post-war Great Britain, as the damaged policeman pursues answers to a constable’s slaying and the three-year-old mystery of a young girl’s disappearance in a tiny Northamptonshire village. Read Todd’s A Long Shadow and see why the Washington Post calls the Rutledge crime novels, “one of the best historical series being written today.”"
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,"It started as a daydream. Poring over a map of the world at home one quiet Saturday afternoon, Ewan McGregor - actor and self-confessed bike nut - noticed that it was possible to ride all the way round the world, with just one short hop across the Bering Strait from Russia to Alaska. It was a revelation he couldn't get out of his head. So he picked up the phone and called Charley Boorman, his best friend, fellow actor and bike enthusiast. 'Charley,' he said. 'I think you ought to come over for dinner...'From London to New York, Ewan and Charley chased their shadows through Europe, the Ukraine, Kazakhstan, Mongolia and Russia, across the Pacific to Alaska, then down through Canada and America. But as the miles slipped beneath the tyres of their big BMWs, their troubles started. Exhaustion, injury and accidents tested their strength. Treacherous roads, unpredictable weather and turbulent politics challenged their stamina. They were chased by paparazzi in Kazakhstan, courted by men with very large guns in the Ukraine, hassled by the police, and given bulls' testicles for supper by Mongolian nomads. And yet despite all these obstacles they managed to ride over 20,000 miles in four months, changing their lives forever in the process. As they travelled they documented their trip, taking photographs, and writing diaries by the campfire. Long Way Round is the result of their adventures - a fascinating, frank and highly entertaining travel book about two friends riding round the world together and, against all the odds, realising their dream."
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,"From debut author Daniel Abraham comes A Shadow in Summer, the first book in the Long Price Quartet fantasy series. The powerful city-state of Saraykeht is a bastion of peace and culture, a major center of commerce and trade. Its economy depends on the power of the captive spirit, Seedless, an andat bound to the poet-sorcerer Heshai for life. Enter the Galts, a juggernaut of an empire committed to laying waste to all lands with their ferocious army. Saraykeht, though, has always been too strong for the Galts to attack, but now they see an opportunity. If they can dispose of Heshai, Seedless's bonded poet-sorcerer, Seedless will perish and the entire city will fall. With secret forces inside the city, the Galts prepare to enact their terrible plan. In the middle is Otah, a simple laborer with a complex past. Recruited to act as a bodyguard for his girlfriend's boss at a secret meeting, he inadvertently learns of the Galtish plot. Otah finds himself as the sole hope of Saraykeht, either he stops the Galts, or the whole city and everyone in it perishes forever. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied."
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,"Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves downtown. With free housing hard to come by, Hoke is desperate to find a new place to live. His difficulties are only amplified by an assignment to re-investigate fifty unsolved murders, the unexpected arrival of his two teenage daughters, and a partner struggling with an unwanted pregnancy. With few options and even fewer dollars, he decides that the suspicious and beautiful stepmother of the dead junkie might be a compromised solution to all of his problems. Packed with atmosphere and humor, New Hope for the Dead is a classic murder mystery by one of the true masters of the genre. Now back in print, Charles Willeford’s tour de force is an irresistible invitation to become acquainted with one of the greatest detective characters of all time."
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,"Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured hooker, a talentless artist, and a clueless retiree. But when his simple robbery results in ruthless and indiscriminate bloodshed, Hoke quickly remembers why he is a cop and hurls himself back into the world he meant to leave behind forever. A masterly tale of both mid-life crisis and murder, Sideswipe is a page-turning thriller packed with laughs, loaded with suspense, and featuring one of the truly original detectives of all time."
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,"After a brutal day investigating a quadruple homicide, Detective Hoke Moseley settles into his room at the un-illustrious El Dorado Hotel and nurses a glass of brandy. With his guard down, he doesn’t think twice when he hears a knock on the door. The next day, he finds himself in the hospital, badly bruised and with his jaw wired shut. He thinks back over ten years of cases wondering who would want to beat him into unconsciousness, steal his gun and badge, and most importantly, make off with his prized dentures. But the pieces never quite add up to revenge, and the few clues he has keep connecting to a dimwitted hooker, and her ex-con boyfriend and the bizarre murder of a Hare Krishna pimp. Chronically depressed, constantly strapped for money, always willing to bend the rules a bit, Hoke Moseley is hardly what you think of as the perfect cop, but he is one of the the greatest detective creations of all time."
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,"A driven art critic’s plan to steal a painting leads to murder in this classic neo-noir novel by the author of the Hoke Moseley series. Fast-talking, backstabbing, womanizing, and fiercely ambitious art critic James Figueras will do anything—blackmail, burglary, and beyond—to make a name for himself. When an unscrupulous collector offers Figueras a career-making chance to interview Jacques Debierue, the greatest living—and most reclusive—artist, the critic must decide how far he will go to become the art-world celebrity he hungers to be. Will Figueras stop at the opportunity to skim some cream for himself or push beyond morality’s limits to a bigger payoff? Crossing the art world with the underworld, Willeford creates a novel of dark hue and high aesthetic polish. The Burnt Orange Heresy—the 1970s crime classic now back in print—has lost none of its savage delights as it re-creates the making of a murderer, calmly and with exquisite tension, while satirizing the workings of the art world as the ultimate con. Now a major motion picture starring Donald Sutherland and Mick Jagger Praise for The Burnt Orange Heresy “Stunning . . . A novel full of genuine fun that also manages to make a level statement about the art world and its hermetic credulities.” —New Yorker"
I am Charlotte Simmons,Tom Wolfe,"At Dupont University, an innocent college freshman named Charlotte Simmons learns that her intellect alone will not help her survive."
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,"Utterly delightful to read aloud, and for parent and child to share, Edward Lear's humorous verses shine with irrepressible joy and rhythm. Filled with exuberantly nonsensical made-up words (like ""Scroobius Pip"" and ""pobble""!) that tickle the funny bone, his work gives free rein to youthful imaginations. What better to foster a love of poetry than the immediately appealing The Owl and the Pussy-Cat, with its effortless rhymes, songlike beat, and charming animal characters? Or The Quangle Wangle's Hat, which tells the tale of a creature who warmly welcomes everyone--and so makes everyone cheerful. In Dingle Bank, even some young and mischievous boys punished by their schoolmaster make the best of their situation and succeed in having a good time. Bright and fanciful paintings--all as wildly energetic and unrestrained as the language itself--add to the enjoyment. 20 examples of Lear's finest poems will entice children over and over again--and, as always, this acclaimed series features fascinating biographical information, introductions to each verse, and full annotations that define difficult vocabulary."
The Puffin Book of Nonsense Verse,Quentin Blake,"Ever eaten Poodle Strudel? Slain a Jabberwock? Bathed in Irish Stew? Quentin Blake is one of the best loved of children’s illustrators. In this brilliant book he has selected and illustrated his favourite comic verse, making it pure entertainment for nonsense-lovers of all ages. His unique style of drawing brings a new perspective to every poem. Classic writers such as Lewis Carroll and Edward Lear are combined with more contemporary talents such as Roger McGough, Margaret Mahy and Russell Hoban. With fifteen wonderfully absurd sections, including Distracting Creatures, Sticky Ends, I Wish I Were a Jelly Fish, A Recipe for Indigestion and Chortling and Galumphing, here is a delightful collection of the topsy-turvy, the fantastical, the anarchic, the illogical and the utterly wonderful."
Henry Miller on Writing,Henry Miller/Thomas H. Moore,"“A brilliant selection . . . it is in short a voyage of discovery, an adventure and this the log of that voyage in the life of a probing and powerful writer.” —Robert R. Kirsch, Los Angeles Times Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience."
Quiet Days in Clichy,Henry Miller,"'Here, even if I had a thousand dollar in my pocket, I know of no sight which could arouse in me the feeling of ecstasy' Looking back to Henry Miller's bohemian life in 1930s Paris, when he was an obscure, penniless writer, Quiet Days in Clichy is a love letter to a city. As he describes nocturnal wanderings through shabby Montmartre streets, cafés and bars, sexual liaisons and volatile love affairs, Miller brilliantly evokes a period that would shape his entire life and oeuvre. 'His writing is flamboyant, torrential, chaotic, treacherous, and dangerous' Anaïs Nin"
